Symbol,LTP,% Change,Open,High,Low,Qty.,link,Sector,Shares Outstanding,Market Price,Last Traded On,52 Weeks High - Low,180 Day Average,120 Day Average,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,#,% Bonus,Right Share,30-Day Avg Volume,Market Capitalization
CBLD88,1002.5,-0.05,1004.0,1002.5,1004.0,125.0,/CompanyDetail.aspx?symbol=CBLD88,Corporate Debenture,3000000.0,1002.5,2024/03/07 12:00:23,"1,024.00-824.10",962.74,981.79,18.57,0.0,0.0,0.0,1002.5,,#ValueFiscal Year,,,210.0,3007500000.0
CCBD88,1005.0,0.28,1005.0,1005.0,1005.0,25.0,/CompanyDetail.aspx?symbol=CCBD88,Corporate Debenture,2200000.0,1005.0,2024/03/07 12:07:14,"1,022.90-831.00",959.52,984.95,22.7,0.0,0.0,0.0,1005.0,,#ValueFiscal Year,,,89.0,2211000000.0
CFCL,337.0,0.9,340.6,334.5,340.6,11957.0,/CompanyDetail.aspx?symbol=CFCL,Finance,9488754.59,337.0,2024/03/07 02:59:48,423.00-275.50,333.93,337.96,7.29,-10.04,-33.57,124.66,2.7,,#ValueFiscal Year1.2:1(FY: 074-075),,2:1(FY:074-075),16524.0,3197710296.83
CGH,818.0,-0.96,842.4,810.0,842.4,15450.0,/CompanyDetail.aspx?symbol=CGH,Hotels And Tourism,15340910.0,818.0,2024/03/07 02:59:59,"1,520.00-796.20",1022.77,965.98,-29.3,8.19,99.88,89.09,9.18,,#ValueFiscal Year,,,25270.0,12548864380.0
CHCL,471.0,0.43,478.3,461.0,472.4,16560.0,/CompanyDetail.aspx?symbol=CHCL,Hydro Power,79839972.1,471.0,2024/03/07 02:59:03,594.00-452.10,489.33,493.75,0.49,9.5,49.58,131.8,3.57,,#ValueFiscal Year,10.00(FY:079-080),,21947.0,37604626859.1
CHDC,950.2,-0.81,977.9,950.2,954.0,5739.0,/CompanyDetail.aspx?symbol=CHDC,Investment,8394100.0,950.2,2024/03/07 02:59:46,"1,217.20-681.20",980.44,982.86,33.46,12.78,74.35,165.63,5.74,,#ValueFiscal Year1.100:30(FY: 072-073),,100:30(FY:072-073),7393.0,7976073820.0
CHL,300.0,0.07,304.9,295.1,295.1,10238.0,/CompanyDetail.aspx?symbol=CHL,Hydro Power,3869775.0,300.0,2024/03/07 02:59:47,343.00-194.10,250.94,265.78,-6.54,-0.54,-555.56,91.49,3.28,0.26(FY:076-077),#ValueFiscal Year1.10:3(FY: 078-079),5.00(FY:076-077),10:3(FY:078-079),24148.0,1160932500.0
CIT,2101.0,-0.38,2125.0,2101.0,2115.0,5202.0,/CompanyDetail.aspx?symbol=CIT,Investment,53137504.0,2101.0,2024/03/07 02:59:32,"2,704.00-1,850.00",2043.03,2087.25,5.11,20.55,102.24,559.48,3.76,,#ValueFiscal Year1.100:82.84(FY: 077-078),,100:82.84(FY:077-078),9847.0,111641895904.0
CITY,597.0,0.34,606.0,585.0,605.9,8354.0,/CompanyDetail.aspx?symbol=CITY,Hotels And Tourism,16740000.0,597.0,2024/03/07 02:59:56,782.50-111.10,618.02,623.9,0.0,-14.1,-42.34,96.5,6.19,,#ValueFiscal Year,,,10726.0,9993780000.0
CIZBD86,1002.0,-1.66,1002.0,1000.0,1000.0,75.0,/CompanyDetail.aspx?symbol=CIZBD86,Corporate Debenture,2500000.0,1002.0,2024/03/07 02:39:56,"1,040.00-950.00",983.27,983.27,0.0,0.0,0.0,0.0,1002.0,,#ValueFiscal Year,,,283.0,2505000000.0
CKHL,680.0,8.97,680.0,605.0,611.6,23216.0,/CompanyDetail.aspx?symbol=CKHL,Hydro Power,,680.0,2024/03/07 02:59:59,686.80-300.00,541.77,541.77,0.0,0.0,0.0,0.0,680.0,,#ValueFiscal Year,,,27984.0,0.0
CLI,447.9,2.49,449.8,437.0,437.0,42963.0,/CompanyDetail.aspx?symbol=CLI,Life Insurance,37500000.0,447.9,2024/03/07 02:59:56,567.00-375.00,453.89,466.06,0.0,0.0,0.0,177.14,2.53,0.26(FY:079-080),#ValueFiscal Year,5.00(FY:079-080),,35734.0,16796250000.0
CMF1,8.51,-1.16,8.51,8.47,8.48,30800.0,/CompanyDetail.aspx?symbol=CMF1,Mutual Fund,82000000.0,8.51,2024/03/07 02:52:46,9.40-6.96,8.23,8.38,13.92,0.0,0.0,0.0,8.51,15.00(FY:076-077),#ValueFiscal Year,,,17458.0,697820000.0
CMF2,7.7,-0.39,7.71,7.64,7.64,10600.0,/CompanyDetail.aspx?symbol=CMF2,Mutual Fund,56000000.0,7.7,2024/03/07 02:58:16,10.39-6.81,7.81,7.96,-1.79,0.0,0.0,0.0,0.0,,#ValueFiscal Year,,,8043.0,431200000.0
CORBL,427.1,3.39,444.9,421.3,421.3,4620.0,/CompanyDetail.aspx?symbol=CORBL,Development Bank Limited,5250000.0,427.1,2024/03/07 02:59:59,475.00-277.80,358.57,374.66,40.54,3.49,122.38,147.47,2.9,,#ValueFiscal Year1.1:1.5(FY: 078-079),,(FY:1:1.5),14506.0,2242275000.0
CYCL,1341.0,-0.67,1430.0,1246.0,1323.0,14935.0,/CompanyDetail.aspx?symbol=CYCL,Microfinance,2664243.9,1341.0,2024/03/07 02:59:55,"1,560.00-882.00",1083.93,1096.16,0.45,15.84,84.66,214.32,6.26,,#ValueFiscal Year,30.00(FY:078-079),,5743.0,3572751069.9
CZBIL,164.0,0.0,168.2,163.0,165.0,13372.0,/CompanyDetail.aspx?symbol=CZBIL,Commercial Banks,142009740.06,164.0,2024/03/07 02:59:18,207.80-156.80,171.9,169.6,-9.89,11.02,14.88,146.2,1.12,,#ValueFiscal Year1.10:2.5(FY: 072-073)2.10:5.50(FY: 071-072),12.91(FY:077-078),10:2.5(FY:072-073),23415.0,23289597369.84
DDBL,749.0,0.92,758.8,735.0,744.0,5771.0,/CompanyDetail.aspx?symbol=DDBL,Microfinance,15510881.66,749.0,2024/03/07 02:59:56,913.00-606.70,747.04,750.41,6.24,15.64,47.89,212.84,3.52,0.53(FY:079-080),#ValueFiscal Year1.1:1(FY: 073-074)2.(FY: 071-072),10.00(FY:079-080),1:1(FY:073-074),5491.0,11617650363.34
DHPL,202.4,0.25,205.0,200.1,204.0,10654.0,/CompanyDetail.aspx?symbol=DHPL,Hydro Power,2640000.0,202.4,2024/03/07 02:59:41,242.00-134.00,173.46,185.43,-10.44,-10.86,-18.64,-3.42,-59.18,,#ValueFiscal Year,,,19081.0,534336000.0
DLBS,856.0,1.09,856.0,810.0,835.1,2619.0,/CompanyDetail.aspx?symbol=DLBS,Microfinance,1331000.0,856.0,2024/03/07 02:59:55,"1,035.00-579.00",737.86,793.69,-6.04,-30.82,-27.77,137.74,6.21,,#ValueFiscal Year,,,1564.0,1139336000.0
DOLTI,410.0,2.12,410.0,388.1,409.5,42935.0,/CompanyDetail.aspx?symbol=DOLTI,Hydro Power,5364860.0,410.0,2024/03/07 02:59:59,450.00-177.40,283.83,315.08,0.0,-3.68,-111.41,71.3,5.75,,#ValueFiscal Year,,,39197.0,2199592600.0
DORDI,440.1,-3.27,481.0,434.3,455.0,52033.0,/CompanyDetail.aspx?symbol=DORDI,Hydro Power,10542604.0,440.1,2024/03/07 02:59:53,576.00-191.60,308.56,350.67,41.06,6.04,72.86,103.06,4.27,,#ValueFiscal Year,,,69241.0,4639800020.4
EBL,508.0,-0.2,520.0,507.3,519.1,14957.0,/CompanyDetail.aspx?symbol=EBL,Commercial Banks,117679040.0,508.0,2024/03/07 02:59:57,633.00-448.00,512.94,509.81,0.49,29.12,17.45,219.57,2.31,,#ValueFiscal Year,,,21808.0,59780952320.0
EBLD85,1015.6,0.75,1020.0,1012.1,1020.0,60.0,/CompanyDetail.aspx?symbol=EBLD85,Corporate Debenture,2000000.0,1015.6,2024/03/07 01:59:06,"1,053.60-976.10",1008.88,1008.88,0.0,0.0,0.0,0.0,1015.6,,#ValueFiscal Year,,,149.0,2031200000.0
EBLD86,901.6,-0.52,920.0,901.6,919.0,75.0,/CompanyDetail.aspx?symbol=EBLD86,Corporate Debenture,2000000.0,901.6,2024/03/07 02:52:30,920.00-745.10,840.72,857.72,16.5,0.0,0.0,0.0,901.6,,#ValueFiscal Year,,,76.0,1803200000.0
EDBL,356.5,2.44,358.0,348.0,354.9,9371.0,/CompanyDetail.aspx?symbol=EDBL,Development Bank Limited,12496944.7,356.5,2024/03/07 02:59:58,399.70-266.40,332.56,339.94,9.79,-11.19,-31.86,152.08,2.34,,#ValueFiscal Year1.10:3(FY: 078-079)2.55(FY: 074-075)3.2:1(FY: 073-074)4.(FY: 073-074)5.2:1(FY: 072-073)6.(FY: 072-073)7.4:1.0370(FY: 071-072)8.1:0.35(FY: 069-070),8.50(FY:077-078),10:3(FY:078-079),11980.0,4455160785.55
EHPL,455.9,1.76,465.0,436.0,456.0,4620.0,/CompanyDetail.aspx?symbol=EHPL,Hydro Power,6200000.0,455.9,2024/03/07 02:59:57,500.00-273.00,378.43,400.13,3.64,4.44,102.68,75.96,6.0,,#ValueFiscal Year,,,11644.0,2826580000.0
ENL,763.1,-0.9,784.9,763.1,784.9,1348.0,/CompanyDetail.aspx?symbol=ENL,Investment,5556000.0,763.1,2024/03/07 02:59:56,"1,060.00-572.00",834.63,820.33,13.05,1.76,433.58,105.76,7.22,,#ValueFiscal Year,,,4102.0,4239783600.0
FMDBL,590.0,-1.32,607.0,587.0,607.0,4781.0,/CompanyDetail.aspx?symbol=FMDBL,Microfinance,12338269.03,590.0,2024/03/07 02:59:56,781.00-497.20,624.27,616.48,3.51,13.76,42.88,128.22,4.6,,#ValueFiscal Year1.(FY: 073-074)2.2:1(FY: 073-074)3.1:1(FY: 071-072)4.(FY: 070-071),,2:1(FY:073-074),6874.0,7279578727.7
FOWAD,1025.0,0.69,1030.0,1010.0,1018.0,860.0,/CompanyDetail.aspx?symbol=FOWAD,Microfinance,10555637.34,1025.0,2024/03/07 02:59:58,"1,493.00-974.00",1133.11,1084.26,-25.83,-4.9,-209.18,256.01,4.0,,#ValueFiscal Year,25.00(FY:078-079),,2777.0,10819528273.5
GBBD85,903.0,0.0,903.0,903.0,903.0,30.0,/CompanyDetail.aspx?symbol=GBBD85,Corporate Debenture,1000000.0,903.0,2024/03/07 11:16:01,"1,000.00-751.00",872.91,882.51,21.19,0.0,0.0,0.0,903.0,,#ValueFiscal Year,,,80.0,903000000.0
GBBL,367.0,1.61,368.0,365.0,367.0,24712.0,/CompanyDetail.aspx?symbol=GBBL,Development Bank Limited,56805173.3,367.0,2024/03/07 02:59:54,432.40-336.00,377.98,379.43,4.86,18.05,20.33,145.43,2.52,,#ValueFiscal Year1.(FY: 072-073)2.(FY: 070-071)3.10:3(FY: 069-070)4.(FY: 068-069),,,29804.0,20847498601.1
GBILD86/87,917.5,1.94,917.5,917.5,917.5,25.0,/CompanyDetail.aspx?symbol=GBILD86/87,Corporate Debenture,3000000.0,917.5,2024/03/07 12:49:22,917.50-743.90,844.87,860.74,23.27,0.0,0.0,0.0,917.5,,#ValueFiscal Year,,,57.0,2752500000.0
GBIME,188.0,1.08,193.1,186.0,189.7,48510.0,/CompanyDetail.aspx?symbol=GBIME,Commercial Banks,361287700.0,188.0,2024/03/07 02:59:36,241.90-176.00,200.2,197.93,-0.32,11.31,16.62,157.4,1.19,,#ValueFiscal Year,,,54167.0,67922087600.0
GBLBS,538.0,0.92,553.0,532.0,543.7,1525.0,/CompanyDetail.aspx?symbol=GBLBS,Microfinance,9825000.0,538.0,2024/03/07 02:59:59,673.00-427.00,519.46,530.77,9.8,19.73,27.27,100.0,5.38,,#ValueFiscal Year1.1:0.5(FY: 075-076),,1:0.5(FY:075-076),3582.0,5285850000.0
GCIL,540.0,-0.9,555.0,536.0,555.0,73893.0,/CompanyDetail.aspx?symbol=GCIL,Manufacturing And Processing,45676857.0,540.0,2024/03/07 02:59:59,614.00-363.10,475.34,491.38,0.0,-18.32,-29.48,225.45,2.4,,#ValueFiscal Year,15.00(FY:079-080),,68766.0,24665502780.0
GFCL,442.0,-0.45,451.5,438.1,440.0,9143.0,/CompanyDetail.aspx?symbol=GFCL,Finance,9461152.0,442.0,2024/03/07 02:59:51,530.00-375.00,430.25,434.06,-1.34,4.84,91.32,174.18,2.54,,#ValueFiscal Year1.10:6(FY: 073-074)2.(FY: 072-073)3.(FY: 071-072),,10:6(FY:073-074),12675.0,4181829184.0
GHL,153.5,0.99,155.9,152.6,154.9,136719.0,/CompanyDetail.aspx?symbol=GHL,Hydro Power,16500000.0,153.5,2024/03/07 02:59:59,286.00-120.00,164.65,159.17,-40.96,-2.26,-67.92,88.94,1.73,,#ValueFiscal Year1.(FY: 080-081),,,93413.0,2532750000.0
GIBF1,8.2,0.24,8.2,8.03,8.04,4400.0,/CompanyDetail.aspx?symbol=GIBF1,Mutual Fund,102576360.0,8.2,2024/03/07 02:56:35,9.70-7.20,8.16,8.15,4.99,0.0,0.0,0.0,8.2,5.00(FY:079-080),#ValueFiscal Year,,,11100.0,841126152.0
GILB,804.0,0.99,828.0,781.0,812.0,1835.0,/CompanyDetail.aspx?symbol=GILB,Microfinance,6189000.45,804.0,2024/03/07 02:59:58,"1,110.70-665.10",848.22,838.93,6.9,15.46,52.01,181.09,4.44,,#ValueFiscal Year1.1:1(FY: 076-077)2.(FY: 074-075)3.2:1(FY: 073-074),,1:1(FY:076-077),1908.0,4975956361.8
GLBSL,951.6,0.17,969.0,933.0,969.0,900.0,/CompanyDetail.aspx?symbol=GLBSL,Microfinance,1014000.0,951.6,2024/03/07 02:39:53,"1,105.00-589.10",760.25,796.73,31.44,15.24,62.44,129.67,7.34,,#ValueFiscal Year,4.00(FY:078-079),,1970.0,964922400.0
GLH,211.0,-0.94,220.0,211.0,217.0,17802.0,/CompanyDetail.aspx?symbol=GLH,Hydro Power,18000000.0,211.0,2024/03/07 02:59:44,319.00-194.60,228.84,233.15,-28.47,-1.09,-193.58,80.33,2.63,,#ValueFiscal Year,,,37566.0,3798000000.0
GMFBS,846.0,-1.63,846.0,813.5,842.8,1924.0,/CompanyDetail.aspx?symbol=GMFBS,Microfinance,1515545.33,846.0,2024/03/07 02:59:54,919.00-641.00,758.05,783.66,12.8,14.18,59.66,146.74,5.77,1.00(FY:077-078),#ValueFiscal Year,19.00(FY:077-078),,848.0,1282151344.95
GMFIL,350.5,-1.21,361.0,349.0,361.0,5242.0,/CompanyDetail.aspx?symbol=GMFIL,Finance,10121760.0,350.5,2024/03/07 02:59:35,427.00-277.00,350.91,354.05,6.53,-13.24,-26.47,140.06,2.5,,#ValueFiscal Year1.10:4(FY: 074-075)2.2:1(FY: 073-074)3.(FY: 073-074)4.(FY: 071-072),,10:4(FY:074-075),10545.0,3547676880.0
GRDBL,361.0,-1.1,367.2,358.0,358.0,8524.0,/CompanyDetail.aspx?symbol=GRDBL,Development Bank Limited,5190000.0,361.0,2024/03/07 02:59:58,393.60-0.00,326.74,334.63,40.52,4.86,74.28,114.97,3.14,0.20(FY:078-079),#ValueFiscal Year1.(FY: 074-075)2.1:4(FY: 072-073),3.80(FY:078-079),,12098.0,1873590000.0
GUFL,654.0,-2.1,670.0,643.0,670.0,120326.0,/CompanyDetail.aspx?symbol=GUFL,Finance,8679938.0,654.0,2024/03/07 02:59:58,670.00-454.00,545.29,556.42,29.53,28.02,23.34,161.15,4.06,,#ValueFiscal Year1.2:1(FY: 073-074),7.00(FY:071-072),2:1(FY:073-074),65895.0,5676679452.0
GVL,435.0,0.0,443.5,433.0,441.0,6490.0,/CompanyDetail.aspx?symbol=GVL,Hydro Power,31250000.0,435.0,2024/03/07 02:59:52,498.00-299.90,398.84,421.39,1.16,13.02,33.41,116.74,3.73,,#ValueFiscal Year,,,16372.0,13593750000.0
H8020,8.99,-3.85,9.17,8.99,9.17,300.0,/CompanyDetail.aspx?symbol=H8020,Mutual Fund,100000000.0,8.99,2024/03/07 02:50:05,10.10-8.30,8.85,8.85,0.0,0.0,0.0,0.0,8.99,,#ValueFiscal Year,,,22340.0,899000000.0
HATHY,918.0,5.64,928.2,866.0,869.0,107536.0,/CompanyDetail.aspx?symbol=HATHY,Investment,11700000.0,918.0,2024/03/07 02:59:58,"1,123.00-279.50",718.18,790.78,0.0,-1.02,-900.0,166.81,5.5,,#ValueFiscal Year1.9.779(FY: 072-073),,9.779(FY:072-073),50668.0,10740600000.0
HBL,190.0,-0.52,193.0,189.0,192.0,26590.0,/CompanyDetail.aspx?symbol=HBL,Commercial Banks,216566156.3,190.0,2024/03/07 02:59:59,270.20-184.00,201.62,201.26,-27.76,13.89,13.68,162.17,1.17,,#ValueFiscal Year1.7:1(FY: 071-072),,7:1(FY:071-072),35834.0,41147569697.0
HBLD86,983.2,-1.24,983.2,983.2,983.2,25.0,/CompanyDetail.aspx?symbol=HBLD86,Corporate Debenture,2500000.0,983.2,2024/03/07 02:42:23,"1,000.00-938.00",970.6,970.6,0.0,0.0,0.0,0.0,983.2,,#ValueFiscal Year,,,38.0,2458000000.0
